                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0981,                 3.8681,                 4.1286,                0.00578,                      1,                0.26282,                0.26282,                 1.3159,                 3.4138,                 4.0694,             0.00040012,             0.00040012,             0.00040012
                      2,                 2.5553,                 2.6417,                 3.3259,                0.02713,                      1,                0.38113,                0.38113,                 1.5353,                 3.7758,                 4.2586,             0.00078765,             0.00078765,             0.00078765
                      3,                 1.5234,                 1.7102,                 2.3037,                0.24883,                0.66869,                0.33567,                0.23001,                 1.1192,                   2.25,                 2.1259,              0.0011478,              0.0011478,              0.0011478
                      4,                 1.1977,                 1.4438,                 1.9291,                0.30988,                 0.7811,                0.46268,                0.40195,                0.92348,                 1.9575,                 1.8121,              0.0012875,              0.0012875,              0.0012875
                      5,                0.99291,                 1.2753,                 1.7082,                0.44037,                0.85592,                0.55208,                0.45385,                0.80112,                 1.6758,                 1.6481,              0.0012404,              0.0012404,              0.0012404
                      6,                0.83764,                 1.1556,                 1.5528,                0.45938,                0.83927,                0.61239,                0.34586,                 1.4689,                 1.5443,                 2.3056,              0.0011932,              0.0011932,              0.0011932
                      7,                0.70919,                 1.0702,                 1.4301,                0.52149,                0.81857,                 0.6384,                 0.4414,                0.88758,                 1.5066,                 1.7178,              0.0011461,              0.0011461,              0.0011461
                      8,                0.67071,                 1.0141,                 1.3753,                0.46675,                0.80271,                0.54172,                0.37559,                  0.883,                 1.4636,                 1.6325,              0.0010989,              0.0010989,              0.0010989
                      9,                0.59291,                0.96023,                  1.305,                0.54536,                0.86955,                0.72177,                0.51354,                0.80953,                 1.3971,                 1.5709,              0.0010517,              0.0010517,              0.0010517
                     10,                0.56263,                0.92149,                 1.2655,                0.53499,                0.81291,                0.74384,                0.59967,                0.73402,                 1.3371,                 1.5245,              0.0010046,              0.0010046,              0.0010046
                     11,                0.52429,                0.87949,                 1.2279,                0.68542,                0.86515,                 0.8319,                0.67081,                0.74923,                 1.1876,                  1.599,             0.00095743,             0.00095743,             0.00095743
                     12,                0.50274,                0.85705,                 1.2079,                0.72909,                0.86359,                 0.8479,                0.73114,                 0.6437,                 1.0527,                  1.447,             0.00091027,             0.00091027,             0.00091027
                     13,                  0.469,                 0.8198,                 1.1767,                0.75084,                0.84316,                0.85624,                0.76234,                0.52015,                0.90621,                 1.3257,             0.00086312,             0.00086312,             0.00086312
                     14,                0.45481,                0.78256,                 1.1608,                0.65672,                0.88148,                0.86325,                0.73046,                0.65308,                  1.204,                 1.4841,             0.00081596,             0.00081596,             0.00081596
                     15,                0.44484,                0.75669,                 1.1451,                0.79815,                0.62502,                0.61832,                0.44083,                0.77557,                 2.1736,                  1.501,              0.0007688,              0.0007688,              0.0007688
                     16,                0.39735,                0.73497,                 1.1183,                0.81637,                0.83182,                0.88276,                0.68651,                0.81257,                 0.8846,                 1.6391,             0.00072164,             0.00072164,             0.00072164
                     17,                0.39381,                0.71344,                 1.1092,                0.81533,                0.64683,                0.54043,                0.42986,                0.76823,                 2.1513,                 1.5898,             0.00067449,             0.00067449,             0.00067449
                     18,                0.37226,                0.67941,                 1.0905,                0.69976,                0.77963,                0.82055,                 0.7188,                0.62923,                 1.2315,                 1.4357,             0.00062733,             0.00062733,             0.00062733
                     19,                0.36217,                0.67504,                 1.0827,                0.80328,                0.84638,                0.86837,                0.69242,                 0.8133,                 1.1715,                 1.6345,             0.00058017,             0.00058017,             0.00058017
                     20,                0.34355,                0.64979,                 1.0681,                0.66515,                0.80604,                0.81532,                0.70935,                0.59635,                 1.4322,                 1.4031,             0.00053302,             0.00053302,             0.00053302
                     21,                0.21374,                0.70141,                 1.0164,                0.77001,                0.58473,                 0.6472,                0.60282,                 0.4809,                 2.4581,                 1.3054,             0.00048586,             0.00048586,             0.00048586
                     22,                0.12789,                0.45047,                0.94929,                0.61342,                0.79476,                0.79016,                0.70876,                0.54166,                 1.4075,                 1.3912,              0.0004387,              0.0004387,              0.0004387
                     23,                0.10686,                0.36788,                0.93862,                0.73742,                0.74414,                0.91586,                0.82535,                0.44086,                 1.8471,                 1.2742,             0.00039155,             0.00039155,             0.00039155
                     24,                0.09782,                 0.3477,                0.93437,                0.58838,                0.77504,                 0.8026,                0.73171,                0.43535,                 1.4773,                 1.2644,             0.00034439,             0.00034439,             0.00034439
                     25,                0.09021,                0.33946,                0.92957,                0.87907,                0.90811,                0.96141,                0.86592,                0.42476,                0.92845,                 1.2625,             0.00029723,             0.00029723,             0.00029723
                     26,                0.08258,                0.30988,                0.92601,                0.86579,                0.91862,                0.95676,                0.86892,                0.40053,                 1.0336,                 1.2412,             0.00025007,             0.00025007,             0.00025007
                     27,                0.07756,                0.28061,                0.92502,                0.70127,                0.83496,                0.89658,                0.81158,                0.42478,                 1.5216,                 1.2688,             0.00020292,             0.00020292,             0.00020292
                     28,                0.06918,                 0.2561,                0.92682,                0.94446,                0.91679,                0.97882,                0.91753,                0.39623,                0.69162,                 1.2307,             0.00015576,             0.00015576,             0.00015576
                     29,                0.06703,                0.24122,                0.92416,                0.80968,                0.90467,                0.96107,                0.91121,                0.37345,                 1.0629,                 1.2206,              0.0001086,              0.0001086,              0.0001086
                     30,                0.06525,                0.22294,                0.92526,                0.89671,                0.88829,                0.97936,                0.88602,                0.42392,                 1.0154,                 1.2671,             6.1447e-05,             6.1447e-05,             6.1447e-05
