                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1591,                 4.2021,                 4.2182,                0.02855,                      1,                0.12199,                0.12199,                  2.656,                 3.6268,                 4.1553,              0.0001125,              0.0001125,              0.0001125
                      2,                 3.0673,                 3.9437,                 4.1288,                 0.0143,                      1,                0.14407,                0.14407,                  2.572,                 3.5363,                 4.1209,              0.0002328,              0.0002328,              0.0002328
                      3,                 3.0148,                 3.2807,                 3.9055,                 0.0119,                      1,                0.20945,                0.20945,                 2.4268,                 3.4769,                 4.0727,             0.00034815,             0.00034815,             0.00034815
                      4,                 2.7096,                  2.754,                 3.6214,                0.01256,                      1,                0.26919,                0.26919,                 2.2436,                 3.3954,                 4.0161,             0.00045854,             0.00045854,             0.00045854
                      5,                 2.3409,                 2.4546,                 3.2634,                0.00946,                      1,                0.30453,                0.30453,                 2.1436,                  3.164,                 3.9835,             0.00056399,             0.00056399,             0.00056399
                      6,                 1.8918,                 2.1157,                 2.8674,                0.02063,                      1,                0.28913,                0.28913,                 2.2568,                 3.4431,                 4.0375,             0.00066449,             0.00066449,             0.00066449
                      7,                 1.4859,                 1.8062,                 2.4665,                0.01254,                      1,                0.40292,                0.20086,                 1.9929,                 2.6819,                 3.6624,             0.00076004,             0.00076004,             0.00076004
                      8,                 1.2209,                 1.5632,                 2.1599,                 0.0135,                      1,                0.30949,                 0.1751,                 2.1033,                 2.5303,                 3.4114,             0.00085063,             0.00085063,             0.00085063
                      9,                 1.0681,                 1.4599,                 1.9415,                0.91066,                0.23577,                0.37723,                0.21573,                 2.1568,                  2.244,                   2.93,             0.00093628,             0.00093628,             0.00093628
                     10,                0.91824,                 1.2995,                 1.7863,                0.71849,                0.40179,                0.42544,                0.28329,                 1.6233,                 1.7388,                 2.5508,               0.001017,               0.001017,               0.001017
                     11,                0.83892,                 1.2259,                 1.6665,                0.35587,                 0.5526,                0.37478,                0.32186,                  1.076,                 2.3172,                    1.8,              0.0010025,              0.0010025,              0.0010025
                     12,                0.76469,                 1.1213,                 1.5656,                0.19547,                0.66733,                0.42736,                 0.3713,                 0.9111,                 2.6699,                 1.6314,             0.00097775,             0.00097775,             0.00097775
                     13,                0.63422,                 1.0334,                  1.449,                0.64138,                 0.3456,                 0.4185,                 0.3494,                0.91501,                 1.6127,                  1.684,               0.000953,               0.000953,               0.000953
                     14,                0.64241,                0.98868,                 1.4234,                0.52742,                0.82578,                0.58956,                0.54598,                0.65854,                 1.3501,                   1.42,             0.00092825,             0.00092825,             0.00092825
                     15,                 0.5618,                0.91263,                  1.351,                0.41218,                0.86573,                0.61217,                0.51715,                0.76905,                 1.2824,                 1.4917,              0.0009035,              0.0009035,              0.0009035
                     16,                0.53413,                0.87581,                 1.3052,                0.39293,                0.74942,                0.35557,                0.34242,                 0.6365,                 2.1544,                 1.4493,             0.00087875,             0.00087875,             0.00087875
                     17,                 0.5018,                0.83674,                 1.2728,                0.25776,                0.77872,                0.28077,                0.26612,                0.55599,                 3.0408,                 1.3136,               0.000854,               0.000854,               0.000854
