                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1747,                 4.2211,                 4.2173,                0.02778,                      1,                0.05747,                0.05747,                 2.6632,                  3.641,                 4.1561,                7.5e-05,                7.5e-05,                7.5e-05
                      2,                 3.0914,                 4.1835,                 4.1858,                0.02737,                      1,                0.11892,                0.11892,                 2.6522,                 3.6342,                 4.1464,             0.00015714,             0.00015714,             0.00015714
                      3,                 3.1224,                 4.0987,                 4.1309,                0.02865,                      1,                0.14813,                0.14813,                  2.604,                 3.6086,                 4.1165,              0.0002335,              0.0002335,              0.0002335
                      4,                 3.0752,                 3.9015,                 4.0497,                0.02999,                      1,                0.24819,                0.24819,                 2.5252,                 3.5606,                 4.0698,             0.00030409,             0.00030409,             0.00030409
                      5,                  3.036,                 3.6006,                 3.9122,                0.01518,                      1,                 0.3282,                 0.3282,                 2.3988,                 3.5183,                 3.9982,              0.0003689,              0.0003689,              0.0003689
                      6,                 2.9329,                 3.3266,                 3.7296,                0.02717,                      1,                0.30347,                0.30347,                 2.3341,                 3.5881,                 3.9834,             0.00042794,             0.00042794,             0.00042794
                      7,                 2.7976,                 3.0532,                 3.5387,                0.02595,                      1,                 0.2524,                 0.2524,                 2.1636,                 3.5578,                 3.9149,              0.0004812,              0.0004812,              0.0004812
                      8,                 2.4941,                 2.8009,                 3.3066,                0.02565,                      1,                0.25568,                0.25568,                 2.1065,                 3.5797,                 3.9433,             0.00052869,             0.00052869,             0.00052869
                      9,                 2.2793,                  2.585,                 3.0699,                0.01591,                      1,                0.33598,                0.33598,                 2.0602,                 3.4168,                 3.9512,              0.0005704,              0.0005704,              0.0005704
                     10,                  2.095,                 2.3568,                 2.8532,                0.01221,                      1,                0.31742,                0.31742,                 2.0006,                  3.185,                 3.8642,             0.00060634,             0.00060634,             0.00060634
                     11,                 1.8718,                 2.1494,                 2.6264,                0.02062,                      1,                  0.363,                  0.363,                 2.1963,                 3.4833,                 4.0241,              0.0006365,              0.0006365,              0.0006365
                     12,                 1.6963,                 1.9463,                 2.4499,                0.01095,                      1,                0.20535,                0.15636,                 2.1849,                 2.6922,                 3.6322,             0.00066089,             0.00066089,             0.00066089
                     13,                 1.5157,                 1.7942,                  2.272,                0.01703,                      1,                 0.3589,                  0.325,                 2.4074,                 3.1489,                 3.8853,              0.0006795,              0.0006795,              0.0006795
                     14,                 1.3541,                 1.6289,                 2.1308,                0.01565,                      1,                0.24067,                0.19078,                 2.1513,                 2.9866,                 3.4025,             0.00069234,             0.00069234,             0.00069234
                     15,                 1.2224,                 1.5254,                 2.0112,                0.01849,                      1,                0.29259,                0.25999,                 2.1891,                 2.8281,                 3.3436,              0.0006725,              0.0006725,              0.0006725
                     16,                 1.1528,                 1.4203,                 1.9376,                0.01767,                      1,                0.34396,                0.20037,                 2.0456,                 2.9561,                 3.0864,             0.00063125,             0.00063125,             0.00063125
                     17,                 1.0638,                 1.3547,                 1.8461,                0.58796,                0.28019,                0.34384,                0.28547,                 1.3926,                 2.6091,                 2.3918,                0.00059,                0.00059,                0.00059
                     18,                0.96926,                 1.2844,                 1.7622,                0.45599,                0.53785,                0.50741,                0.40013,                 1.3015,                 2.1167,                 2.1785,             0.00054875,             0.00054875,             0.00054875
                     19,                  0.913,                 1.2403,                 1.7008,                0.41757,                0.68971,                0.54578,                0.43312,                 1.2576,                 1.8605,                 2.1561,              0.0005075,              0.0005075,              0.0005075
                     20,                0.86366,                 1.1927,                 1.6585,                0.44765,                 0.6838,                0.50219,                0.40199,                 1.0199,                 1.6579,                    1.8,             0.00046625,             0.00046625,             0.00046625
                     21,                0.56942,                 1.4449,                 1.4162,                0.60333,                0.41037,                0.44473,                0.41049,                 1.0039,                  1.815,                 1.9164,               0.000425,               0.000425,               0.000425
                     22,                0.42233,                 1.0534,                 1.2584,                0.46131,                0.93589,                0.78046,                0.69779,                0.78377,                 1.1801,                 1.8337,             0.00038375,             0.00038375,             0.00038375
                     23,                0.35353,                0.91519,                 1.1751,                0.52899,                0.88984,                0.71234,                0.63256,                0.76309,                 1.2778,                   1.81,              0.0003425,              0.0003425,              0.0003425
                     24,                0.29278,                0.84507,                 1.1167,                0.70405,                0.84829,                0.79895,                0.72418,                0.67106,                0.75093,                 1.6729,             0.00030125,             0.00030125,             0.00030125
                     25,                0.27643,                 0.8586,                 1.0884,                0.62816,                0.93415,                 0.8051,                0.74616,                0.66795,                 0.7803,                 1.6308,                0.00026,                0.00026,                0.00026
                     26,                0.24892,                 0.7581,                 1.0734,                0.70069,                0.94175,                0.81489,                0.74021,                0.65931,                0.68026,                  1.653,             0.00021875,             0.00021875,             0.00021875
                     27,                0.23582,                0.72122,                 1.0602,                 0.7153,                0.94797,                0.79872,                0.72996,                0.62743,                0.65689,                 1.7247,              0.0001775,              0.0001775,              0.0001775
                     28,                0.21764,                0.70123,                 1.0384,                0.66421,                0.95844,                 0.8119,                0.73688,                0.56544,                0.67413,                   1.64,             0.00013625,             0.00013625,             0.00013625
                     29,                0.20463,                0.67982,                 1.0328,                0.70969,                0.96171,                0.84071,                0.76238,                0.60014,                 0.6032,                 1.6323,                9.5e-05,                9.5e-05,                9.5e-05
                     30,                0.19358,                0.65848,                 1.0257,                0.70194,                0.95925,                 0.8504,                0.76874,                0.57873,                 0.6015,                 1.6378,              5.375e-05,              5.375e-05,              5.375e-05
