                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94852,                0.52918,                      1,                 1.0116,             0.00023247,             0.00023247,             0.00023247
                      2,                0.73515,                0.60138,                      1,                0.90845,             0.00046115,             0.00046115,             0.00046115
                      3,                0.71765,                0.67359,                      1,                0.86377,             0.00068041,             0.00068041,             0.00068041
                      4,                0.65696,                0.67458,                      1,                0.86068,             0.00067159,             0.00067159,             0.00067159
                      5,                0.55396,                0.81108,                      1,                0.77905,             0.00065745,             0.00065745,             0.00065745
                      6,                0.49792,                0.82987,                      1,                0.71232,             0.00064331,             0.00064331,             0.00064331
                      7,                0.46059,                0.84471,                      1,                 0.6945,             0.00062918,             0.00062918,             0.00062918
                      8,                0.37734,                0.68447,                      1,                0.85531,             0.00061504,             0.00061504,             0.00061504
                      9,                0.34947,                0.89614,                      1,                0.67936,              0.0006009,              0.0006009,              0.0006009
                     10,                0.33446,                0.86251,                      1,                  0.691,             0.00058677,             0.00058677,             0.00058677
                     11,                0.28858,                0.85954,                      1,                0.67505,             0.00057263,             0.00057263,             0.00057263
                     12,                0.26604,                0.88823,                      1,                0.67904,             0.00055849,             0.00055849,             0.00055849
                     13,                0.26703,                0.84669,                      1,                0.69344,             0.00054435,             0.00054435,             0.00054435
                     14,                0.24526,                0.91098,                      1,                0.65869,             0.00053022,             0.00053022,             0.00053022
                     15,                0.24646,                0.90603,                      1,                 0.6578,             0.00051608,             0.00051608,             0.00051608
                     16,                0.21382,                0.88427,                      1,                0.64657,             0.00050194,             0.00050194,             0.00050194
                     17,                0.20813,                0.92384,                      1,                 0.6237,              0.0004878,              0.0004878,              0.0004878
                     18,                 0.2082,                 0.9456,                      1,                0.61385,             0.00047367,             0.00047367,             0.00047367
                     19,                0.18768,                0.93274,                      1,                0.61825,             0.00045953,             0.00045953,             0.00045953
                     20,                0.19796,                0.89318,                      1,                0.64054,             0.00044539,             0.00044539,             0.00044539
                     21,                0.19517,                0.88131,                      1,                0.66528,             0.00043126,             0.00043126,             0.00043126
                     22,                0.19152,                0.91592,                      1,                0.66162,             0.00041712,             0.00041712,             0.00041712
                     23,                0.17417,                0.94362,                      1,                0.61344,             0.00040298,             0.00040298,             0.00040298
                     24,                0.17656,                0.94164,                      1,                0.61678,             0.00038884,             0.00038884,             0.00038884
                     25,                0.16692,                0.96142,                      1,                 0.6014,             0.00037471,             0.00037471,             0.00037471
                     26,                0.15965,                0.94857,                      1,                0.60726,             0.00036057,             0.00036057,             0.00036057
                     27,                0.14928,                0.96044,                      1,                0.59554,             0.00034643,             0.00034643,             0.00034643
                     28,                0.13108,                0.97626,                      1,                 0.5813,              0.0003323,              0.0003323,              0.0003323
                     29,                0.13828,                0.96241,                      1,                0.62044,             0.00031816,             0.00031816,             0.00031816
                     30,                0.15054,                0.96538,                      1,                0.60498,             0.00030402,             0.00030402,             0.00030402
                     31,                0.14254,                0.92681,                      1,                0.62313,             0.00028988,             0.00028988,             0.00028988
                     32,                0.13516,                0.96736,                      1,                0.58716,             0.00027575,             0.00027575,             0.00027575
                     33,                0.12601,                 0.9634,                      1,                0.58602,             0.00026161,             0.00026161,             0.00026161
                     34,                0.11511,                 0.9822,                      1,                0.59408,             0.00024747,             0.00024747,             0.00024747
                     35,                0.11255,                0.96241,                      1,                0.59595,             0.00023334,             0.00023334,             0.00023334
                     36,                 0.1257,                0.97033,                      1,                0.58618,              0.0002192,              0.0002192,              0.0002192
                     37,                0.13038,                0.97725,                      1,                0.58057,             0.00020506,             0.00020506,             0.00020506
                     38,                0.11729,                 0.9634,                      1,                0.58683,             0.00019092,             0.00019092,             0.00019092
                     39,                0.10334,                0.98417,                      1,                0.57617,             0.00017679,             0.00017679,             0.00017679
                     40,                 0.1072,                0.97923,                      1,                0.57886,             0.00016265,             0.00016265,             0.00016265
                     41,                0.10519,                0.98417,                      1,                0.57178,             0.00014851,             0.00014851,             0.00014851
                     42,                0.10162,                0.98615,                      1,                0.57121,             0.00013437,             0.00013437,             0.00013437
                     43,                0.10383,                0.98714,                      1,                0.57373,             0.00012024,             0.00012024,             0.00012024
                     44,                0.08667,                0.98318,                      1,                0.57235,              0.0001061,              0.0001061,              0.0001061
                     45,                0.08535,                0.98615,                      1,                 0.5756,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.08288,                0.98813,                      1,                0.56917,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                 0.0815,                0.98516,                      1,                0.56966,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.07536,                 0.9911,                      1,                  0.566,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                 0.0755,                0.99209,                      1,                 0.5651,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.08286,                 0.9911,                      1,                0.56519,             2.1277e-05,             2.1277e-05,             2.1277e-05
