                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3608,                0.63731,                      1,                 1.3809,              4.998e-05,              4.998e-05,              4.998e-05
                      2,                 1.2312,                0.63731,                      1,                 1.3574,             0.00010498,             0.00010498,             0.00010498
                      3,                 1.0627,                 0.1399,                      1,                 1.3916,             0.00015772,             0.00015772,             0.00015772
                      4,                0.87405,                0.53368,                      1,                 1.3301,             0.00020819,             0.00020819,             0.00020819
                      5,                 0.7115,                0.35233,                      1,                 1.3457,             0.00025641,             0.00025641,             0.00025641
                      6,                0.67576,                0.32124,                      1,                 1.3652,             0.00030236,             0.00030236,             0.00030236
                      7,                0.64317,                0.62694,                      1,                  1.124,             0.00034605,             0.00034605,             0.00034605
                      8,                0.61792,                0.92746,                      1,                0.83545,             0.00038747,             0.00038747,             0.00038747
                      9,                0.69075,                0.73575,                      1,                 1.0098,             0.00042664,             0.00042664,             0.00042664
                     10,                0.62142,                0.90674,                      1,                0.84961,             0.00046354,             0.00046354,             0.00046354
                     11,                0.62773,                 0.8601,                      1,                0.87256,             0.00049819,             0.00049819,             0.00049819
                     12,                0.59827,                 0.8342,                      1,                0.91699,             0.00053057,             0.00053057,             0.00053057
                     13,                0.49545,                0.80829,                      1,                0.90771,             0.00054435,             0.00054435,             0.00054435
                     14,                0.51963,                0.89119,                      1,                0.87158,             0.00053022,             0.00053022,             0.00053022
                     15,                 0.4847,                0.89119,                      1,                0.85205,             0.00051608,             0.00051608,             0.00051608
                     16,                0.40105,                0.89119,                      1,                0.88037,             0.00050194,             0.00050194,             0.00050194
                     17,                0.50261,                0.97409,                      1,                0.80469,              0.0004878,              0.0004878,              0.0004878
                     18,                0.47409,                0.89119,                      1,                0.84912,             0.00047367,             0.00047367,             0.00047367
                     19,                 0.4683,                0.93782,                      1,                0.86035,             0.00045953,             0.00045953,             0.00045953
                     20,                0.38265,                0.93782,                      1,                0.80908,             0.00044539,             0.00044539,             0.00044539
                     21,                0.40805,                0.94301,                      1,                0.81592,             0.00043126,             0.00043126,             0.00043126
                     22,                 0.3864,                0.86528,                      1,                0.87256,             0.00041712,             0.00041712,             0.00041712
                     23,                0.41259,                0.86528,                      1,                0.88818,             0.00040298,             0.00040298,             0.00040298
                     24,                0.36924,                0.88601,                      1,                0.85938,             0.00038884,             0.00038884,             0.00038884
                     25,                0.36669,                0.95337,                      1,                0.80469,             0.00037471,             0.00037471,             0.00037471
                     26,                0.34134,                0.90155,                      1,                0.83691,             0.00036057,             0.00036057,             0.00036057
                     27,                0.29581,                0.92746,                      1,                0.81787,             0.00034643,             0.00034643,             0.00034643
                     28,                0.30556,                0.96373,                      1,                0.79541,              0.0003323,              0.0003323,              0.0003323
                     29,                0.31985,                0.95337,                      1,                 0.7998,             0.00031816,             0.00031816,             0.00031816
                     30,                0.30758,                0.96373,                      1,                0.79492,             0.00030402,             0.00030402,             0.00030402
                     31,                0.31363,                0.94819,                      1,                0.83105,             0.00028988,             0.00028988,             0.00028988
                     32,                0.27371,                0.95337,                      1,                0.79443,             0.00027575,             0.00027575,             0.00027575
                     33,                0.28708,                0.95855,                      1,                0.79395,             0.00026161,             0.00026161,             0.00026161
                     34,                0.33351,                0.93782,                      1,                0.80859,             0.00024747,             0.00024747,             0.00024747
                     35,                0.27886,                0.90155,                      1,                0.84668,             0.00023334,             0.00023334,             0.00023334
                     36,                0.27437,                0.96891,                      1,                0.78906,              0.0002192,              0.0002192,              0.0002192
                     37,                0.22974,                0.94301,                      1,                0.80176,             0.00020506,             0.00020506,             0.00020506
                     38,                0.23772,                0.96891,                      1,                0.79102,             0.00019092,             0.00019092,             0.00019092
                     39,                0.24964,                0.95337,                      1,                0.80615,             0.00017679,             0.00017679,             0.00017679
                     40,                0.22936,                0.95855,                      1,                0.79199,             0.00016265,             0.00016265,             0.00016265
                     41,                0.24206,                0.95337,                      1,                0.80127,             0.00014851,             0.00014851,             0.00014851
                     42,                0.22817,                0.94819,                      1,                0.80713,             0.00013437,             0.00013437,             0.00013437
                     43,                0.19276,                0.96891,                      1,                0.78613,             0.00012024,             0.00012024,             0.00012024
                     44,                0.18793,                0.95855,                      1,                0.79395,              0.0001061,              0.0001061,              0.0001061
                     45,                0.21513,                0.95855,                      1,                 0.7832,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.21564,                0.94301,                      1,                0.79541,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.19359,                0.94819,                      1,                0.79492,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.18365,                0.95337,                      1,                0.78711,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.18648,                0.96373,                      1,                0.78076,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.19067,                0.96373,                      1,                0.77881,             2.1277e-05,             2.1277e-05,             2.1277e-05
