                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0524,                0.26284,                      1,                 1.0903,             0.00016422,             0.00016422,             0.00016422
                      2,                0.91267,                0.70091,                      1,                0.89038,             0.00032894,             0.00032894,             0.00032894
                      3,                0.89114,                0.67372,                      1,                0.88184,             0.00048687,             0.00048687,             0.00048687
                      4,                 0.8538,                0.69789,                      1,                0.83521,             0.00063801,             0.00063801,             0.00063801
                      5,                0.82611,                0.72205,                      1,                0.82227,             0.00065745,             0.00065745,             0.00065745
                      6,                0.81738,                0.70695,                      1,                0.84644,             0.00064331,             0.00064331,             0.00064331
                      7,                0.81767,                0.72205,                      1,                0.85913,             0.00062918,             0.00062918,             0.00062918
                      8,                0.82054,                0.77039,                      1,                0.80127,             0.00061504,             0.00061504,             0.00061504
                      9,                0.80355,                0.70695,                      1,                0.87134,              0.0006009,              0.0006009,              0.0006009
                     10,                0.77162,                0.73716,                      1,                0.82397,             0.00058677,             0.00058677,             0.00058677
                     11,                0.80098,                0.71903,                      1,                0.87793,             0.00057263,             0.00057263,             0.00057263
                     12,                 0.7682,                0.76737,                      1,                 0.7998,             0.00055849,             0.00055849,             0.00055849
                     13,                0.79494,                0.76133,                      1,                0.83423,             0.00054435,             0.00054435,             0.00054435
                     14,                0.77985,                0.69184,                      1,                0.84546,             0.00053022,             0.00053022,             0.00053022
                     15,                0.79883,                0.74924,                      1,                0.83618,             0.00051608,             0.00051608,             0.00051608
                     16,                0.74897,                0.72205,                      1,                0.88574,             0.00050194,             0.00050194,             0.00050194
                     17,                0.76139,                0.70393,                      1,                0.83447,              0.0004878,              0.0004878,              0.0004878
                     18,                0.76501,                0.75831,                      1,                0.82056,             0.00047367,             0.00047367,             0.00047367
                     19,                0.75128,                0.72508,                      1,                 0.8457,             0.00045953,             0.00045953,             0.00045953
                     20,                0.74067,                0.71601,                      1,                0.83691,             0.00044539,             0.00044539,             0.00044539
                     21,                0.72622,                0.70997,                      1,                0.84399,             0.00043126,             0.00043126,             0.00043126
                     22,                0.73358,                0.74622,                      1,                0.85449,             0.00041712,             0.00041712,             0.00041712
                     23,                0.72929,                0.76133,                      1,                0.82324,             0.00040298,             0.00040298,             0.00040298
                     24,                0.71708,                0.75227,                      1,                0.83569,             0.00038884,             0.00038884,             0.00038884
                     25,                0.71821,                 0.6858,                      1,                0.86279,             0.00037471,             0.00037471,             0.00037471
                     26,                0.70178,                0.73112,                      1,                0.83447,             0.00036057,             0.00036057,             0.00036057
                     27,                0.69462,                0.77039,                      1,                0.80176,             0.00034643,             0.00034643,             0.00034643
                     28,                0.69381,                0.76133,                      1,                0.81201,              0.0003323,              0.0003323,              0.0003323
                     29,                0.67281,                0.74622,                      1,                0.81812,             0.00031816,             0.00031816,             0.00031816
                     30,                0.68729,                0.80363,                      1,                0.78442,             0.00030402,             0.00030402,             0.00030402
                     31,                0.65469,                0.81571,                      1,                0.79126,             0.00028988,             0.00028988,             0.00028988
                     32,                0.66387,                0.79758,                      1,                0.78442,             0.00027575,             0.00027575,             0.00027575
                     33,                 0.6623,                0.80363,                      1,                0.77319,             0.00026161,             0.00026161,             0.00026161
                     34,                0.64302,                0.77341,                      1,                0.79443,             0.00024747,             0.00024747,             0.00024747
                     35,                0.63583,                0.81571,                      1,                0.78442,             0.00023334,             0.00023334,             0.00023334
                     36,                0.62738,                0.74018,                      1,                  0.823,              0.0002192,              0.0002192,              0.0002192
                     37,                0.64382,                 0.8006,                      1,                0.77832,             0.00020506,             0.00020506,             0.00020506
                     38,                0.60359,                0.77946,                      1,                 0.7981,             0.00019092,             0.00019092,             0.00019092
                     39,                0.59535,                0.76435,                      1,                0.79224,             0.00017679,             0.00017679,             0.00017679
                     40,                0.58447,                0.81269,                      1,                0.76001,             0.00016265,             0.00016265,             0.00016265
                     41,                0.58782,                0.81269,                      1,                0.76318,             0.00014851,             0.00014851,             0.00014851
                     42,                0.57013,                0.78248,                      1,                0.77197,             0.00013437,             0.00013437,             0.00013437
                     43,                0.57988,                0.81873,                      1,                0.75415,             0.00012024,             0.00012024,             0.00012024
                     44,                0.56426,                0.79758,                      1,                0.76172,              0.0001061,              0.0001061,              0.0001061
                     45,                0.54684,                 0.8006,                      1,                0.76172,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.54152,                0.81873,                      1,                0.75854,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.53802,                0.81571,                      1,                0.75415,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.51438,                0.81873,                      1,                0.74292,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.54666,                0.83988,                      1,                0.74292,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.51919,                 0.8429,                      1,                0.73926,             2.1277e-05,             2.1277e-05,             2.1277e-05
