                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1183,                 4.0438,                  4.182,                0.00804,                      1,                0.07312,                0.07312,                 2.6393,                  3.463,                  4.137,             0.00021435,             0.00021435,             0.00021435
                      2,                 3.0691,                 3.5814,                 3.9719,                0.00784,                      1,                0.29365,                0.29365,                 2.3768,                 3.3296,                 3.9892,             0.00042837,             0.00042837,             0.00042837
                      3,                 2.7418,                 2.8259,                 3.4759,                0.01413,                      1,                0.37893,                0.37893,                 2.2775,                  3.396,                 3.9977,              0.0006273,              0.0006273,              0.0006273
                      4,                 2.0523,                 2.1977,                 2.8152,                0.02564,                      1,                0.32578,                0.32578,                 2.3229,                 3.4229,                 4.0451,             0.00081114,             0.00081114,             0.00081114
                      5,                 1.5273,                 1.8302,                  2.329,                  0.017,                      1,                0.38706,                0.38706,                 1.9907,                 3.3568,                 3.8577,             0.00097989,             0.00097989,             0.00097989
                      6,                   1.17,                 1.5858,                 1.9818,                0.01568,                      1,                0.41101,                0.32483,                 1.8488,                 2.4658,                 2.9948,              0.0011336,              0.0011336,              0.0011336
                      7,                0.91643,                 1.4274,                 1.7244,                0.29272,                0.92727,                0.43019,                 0.3769,                 1.2827,                 1.7338,                 2.0124,              0.0011461,              0.0011461,              0.0011461
                      8,                0.78408,                 1.3018,                 1.5624,                0.26387,                0.59639,                0.56299,                0.51869,                0.80177,                 2.2002,                 1.5699,              0.0010989,              0.0010989,              0.0010989
                      9,                0.63802,                 1.2245,                  1.433,                0.40943,                0.89662,                0.59061,                 0.5699,                0.77067,                 1.4296,                 1.6518,              0.0010517,              0.0010517,              0.0010517
                     10,                0.59102,                 1.1763,                 1.3724,                0.42094,                0.84482,                0.56723,                0.52836,                0.67428,                 1.4915,                 1.5395,              0.0010046,              0.0010046,              0.0010046
                     11,                0.54884,                  1.137,                 1.3142,                0.40971,                0.86423,                0.57736,                0.51749,                 0.5446,                 1.0795,                 1.4607,             0.00095743,             0.00095743,             0.00095743
                     12,                 0.4964,                 1.0983,                 1.2606,                0.44791,                0.65225,                0.62159,                0.59968,                0.55391,                 1.5592,                 1.4251,             0.00091027,             0.00091027,             0.00091027
                     13,                0.44619,                 1.0637,                 1.2145,                0.43881,                0.76571,                0.56047,                0.50237,                0.53226,                 1.2042,                 1.3876,             0.00086312,             0.00086312,             0.00086312
                     14,                0.43419,                 1.0449,                 1.1909,                0.45666,                 0.6349,                0.56549,                0.55472,                0.51075,                 1.8847,                 1.4411,             0.00081596,             0.00081596,             0.00081596
                     15,                0.40415,                 1.0327,                  1.166,                0.41906,                0.80028,                0.60801,                0.54461,                0.50576,                 1.2666,                 1.4438,              0.0007688,              0.0007688,              0.0007688
                     16,                0.38258,                 1.0267,                 1.1405,                0.45945,                0.83454,                 0.6429,                0.57635,                0.55606,                 1.1167,                  1.504,             0.00072164,             0.00072164,             0.00072164
                     17,                0.37374,                 1.0016,                 1.1276,                0.41313,                0.55103,                0.60095,                0.53693,                0.52844,                 2.2199,                 1.4001,             0.00067449,             0.00067449,             0.00067449
                     18,                0.35092,                0.98131,                 1.1082,                0.49202,                0.51765,                 0.5897,                 0.5283,                0.51037,                 1.9593,                 1.3746,             0.00062733,             0.00062733,             0.00062733
                     19,                  0.336,                0.95765,                  1.093,                 0.4387,                0.62632,                0.60351,                0.57222,                0.44696,                 1.6007,                 1.3492,             0.00058017,             0.00058017,             0.00058017
                     20,                0.32318,                0.94967,                  1.079,                0.44066,                 0.5325,                0.57338,                0.54462,                0.46858,                 2.0455,                 1.3805,             0.00053302,             0.00053302,             0.00053302
                     21,                0.23632,                 1.1616,                  1.023,                0.45349,                 0.8881,                0.62389,                0.57502,                0.48536,                 1.1872,                 1.3179,             0.00048586,             0.00048586,             0.00048586
                     22,                0.16586,                0.85476,                 0.9581,                0.45576,                0.88352,                0.62797,                0.61277,                0.49097,                 1.3703,                 1.4808,              0.0004387,              0.0004387,              0.0004387
                     23,                0.15761,                0.82358,                0.94624,                0.49098,                0.80189,                0.64233,                0.62341,                0.49154,                 1.3174,                 1.4745,             0.00039155,             0.00039155,             0.00039155
                     24,                0.12767,                0.77695,                0.92546,                 0.5384,                0.81594,                0.62816,                0.62502,                0.41995,                0.81109,                 1.3817,             0.00034439,             0.00034439,             0.00034439
                     25,                0.11401,                0.77482,                0.92562,                0.51543,                0.82582,                0.64835,                0.63204,                0.41518,                 0.8205,                 1.3533,             0.00029723,             0.00029723,             0.00029723
                     26,                0.09996,                0.75394,                0.92089,                0.48558,                0.82533,                0.61863,                0.60104,                0.38987,                0.73808,                 1.3623,             0.00025007,             0.00025007,             0.00025007
                     27,                0.09448,                0.72757,                0.91897,                0.53536,                0.85561,                0.65949,                0.61961,                0.38208,                0.72104,                 1.3323,             0.00020292,             0.00020292,             0.00020292
                     28,                0.09211,                0.73576,                0.91194,                0.54446,                0.89073,                0.65481,                0.62111,                0.36983,                0.71222,                 1.3399,             0.00015576,             0.00015576,             0.00015576
                     29,                0.08321,                0.70752,                0.91801,                0.54366,                0.86779,                0.65866,                0.62868,                0.36902,                0.74671,                 1.3046,              0.0001086,              0.0001086,              0.0001086
                     30,                0.08262,                0.70579,                0.91267,                0.51758,                0.83005,                0.64199,                0.61222,                0.37668,                0.78057,                 1.3461,             6.1447e-05,             6.1447e-05,             6.1447e-05
